timestamp,temperature,humidity,soil_moisture,battery_voltage,mode,mist_status,pump_status,temperature_threshold,humidity_threshold,soil_threshold
2026-05-09 12:06:09,27.7,53.4,1158,7.4,1,0,0,,,
2026-05-09 12:06:15,27.7,53.4,1149,7.3,1,0,0,,,
2026-05-09 12:06:20,27.7,53.2,1143,7.4,1,0,0,,,
2026-05-09 12:06:26,27.7,53.2,1138,7.4,1,0,0,,,
2026-05-09 12:06:31,27.7,53.4,1134,7.4,1,0,0,,,
2026-05-09 12:06:37,27.7,53.6,1126,7.4,1,0,0,,,
2026-05-09 12:06:42,27.7,53.8,1121,7.4,1,0,0,,,
2026-05-09 12:06:48,27.7,54.4,1113,7.4,1,0,0,,,
2026-05-09 12:06:53,27.7,55.0,1109,7.4,1,0,0,,,
2026-05-09 12:06:59,27.7,55.4,1104,7.4,1,0,0,,,
2026-05-09 12:07:04,27.8,56.0,1101,7.4,1,0,0,,,
2026-05-09 12:07:10,27.8,56.4,1099,7.4,1,0,0,,,
2026-05-09 12:07:15,27.8,56.8,1095,7.4,1,0,0,,,
2026-05-09 12:07:21,27.8,57.0,1088,7.4,1,0,0,,,
2026-05-09 12:07:26,27.8,57.2,1087,7.4,1,0,0,,,
2026-05-09 12:07:32,27.8,57.4,1083,7.4,1,0,0,,,
2026-05-09 12:07:37,27.8,57.6,1080,7.4,1,0,0,,,
2026-05-09 12:07:43,27.8,57.4,1075,7.4,1,0,0,,,
2026-05-09 12:07:48,27.8,57.2,1073,7.4,1,0,0,,,
2026-05-09 12:07:54,27.8,57.0,1071,7.4,1,0,0,,,
2026-05-09 12:07:59,27.8,56.6,1067,7.4,1,0,0,,,
2026-05-09 12:08:05,27.8,56.4,1066,7.4,1,0,0,,,
2026-05-09 12:08:10,27.8,56.4,1062,7.4,1,0,0,,,
2026-05-09 12:08:15,27.8,56.8,1060,7.4,1,0,0,,,
2026-05-09 12:08:21,27.9,56.8,1057,7.4,1,0,0,,,
2026-05-09 12:08:26,27.9,56.6,1054,7.4,1,0,0,,,
2026-05-09 12:08:32,27.9,56.2,1050,7.4,1,0,0,,,
2026-05-09 12:08:37,27.9,55.8,1050,7.4,1,0,0,,,
2026-05-09 12:08:43,27.9,55.2,1048,7.4,1,0,0,,,
2026-05-09 12:08:48,27.9,54.8,1045,7.4,1,0,0,,,
2026-05-09 12:08:54,27.9,54.6,1043,7.4,1,0,0,,,
2026-05-09 12:08:59,27.9,54.4,1041,7.4,1,0,0,,,
2026-05-09 12:09:05,27.9,54.2,1039,7.4,1,0,0,,,
2026-05-09 12:09:10,27.9,54.0,1038,7.4,1,0,0,,,
2026-05-09 12:09:16,27.9,54.0,1038,7.4,1,0,0,,,
2026-05-09 12:09:21,27.9,54.2,1032,7.3,1,0,0,,,
2026-05-09 12:09:27,27.9,54.2,1030,7.4,1,0,0,,,
2026-05-09 12:09:32,27.9,54.4,1031,7.4,1,0,0,,,
2026-05-09 12:09:38,27.9,54.4,1023,7.4,1,0,0,,,
2026-05-09 12:09:43,27.9,54.4,1023,7.4,1,0,0,,,
2026-05-09 12:09:49,27.9,54.2,1021,7.4,1,0,0,,,
2026-05-09 12:09:54,28.0,54.4,1018,7.4,1,0,0,,,
2026-05-09 12:10:00,28.0,54.2,1019,7.4,1,0,0,,,
2026-05-09 12:10:05,28.0,54.2,1015,7.4,1,0,0,,,
2026-05-09 12:10:11,28.0,54.2,1015,7.4,1,0,0,,,
2026-05-09 12:10:16,27.9,54.4,1012,7.4,1,0,0,,,
2026-05-09 12:10:22,27.9,54.2,1011,7.4,1,0,0,,,
2026-05-09 12:10:27,27.9,54.2,1011,7.4,1,0,0,,,
2026-05-09 12:10:33,27.9,54.2,1010,7.4,1,0,0,,,
2026-05-09 12:10:38,27.9,54.2,1009,7.3,1,0,0,,,
2026-05-09 12:10:44,27.9,53.8,1007,7.3,1,0,0,,,
2026-05-09 12:10:49,27.9,53.6,1007,7.4,1,0,0,,,
2026-05-09 12:10:55,27.9,53.4,1007,7.4,1,0,0,,,
2026-05-09 12:11:00,27.9,53.2,1006,7.4,1,0,0,,,
2026-05-09 12:11:06,27.9,53.0,1005,7.4,1,0,0,,,
2026-05-09 12:11:11,27.8,53.0,1004,7.4,1,0,0,,,
2026-05-09 12:11:17,27.8,53.0,1003,7.4,1,0,0,,,
2026-05-09 12:11:22,27.8,53.0,1002,7.4,1,0,0,,,
2026-05-09 12:11:28,27.8,53.0,1000,7.4,1,0,0,,,
2026-05-09 12:11:33,27.8,53.0,1000,7.4,1,0,0,,,
2026-05-09 12:11:39,27.7,53.0,998,7.3,1,0,0,,,
2026-05-09 12:11:44,27.7,53.2,997,7.4,1,0,0,,,
2026-05-09 12:11:50,27.7,53.2,993,7.4,1,0,0,,,
2026-05-09 12:11:55,27.7,53.4,994,7.4,1,0,0,,,
2026-05-09 12:12:01,27.7,53.4,994,7.4,1,0,0,,,
2026-05-09 12:12:06,27.7,53.4,993,7.3,1,0,0,,,
2026-05-09 12:12:12,27.7,53.4,992,7.4,1,0,0,,,
2026-05-09 12:12:17,27.6,53.8,991,7.4,1,0,0,,,
2026-05-09 12:12:22,27.6,54.2,989,7.4,1,0,0,,,
2026-05-09 12:12:28,27.6,54.8,989,7.4,1,0,0,,,
2026-05-09 12:12:33,27.6,55.2,985,7.3,1,0,0,,,
2026-05-09 12:12:39,27.6,55.4,987,7.4,1,0,0,,,
2026-05-09 12:12:44,27.6,55.2,985,7.4,1,0,0,,,
2026-05-09 12:12:50,27.6,54.8,983,7.3,1,0,0,,,
2026-05-09 12:12:55,27.6,54.4,982,7.3,1,0,0,,,
2026-05-09 12:13:01,27.6,54.2,982,7.4,1,0,0,,,
2026-05-09 12:13:06,27.7,54.0,980,7.3,1,0,0,,,
2026-05-09 12:13:12,27.7,54.0,979,7.3,1,0,0,,,
2026-05-09 12:13:17,27.7,54.0,979,7.4,1,0,0,,,
2026-05-09 12:13:23,27.7,54.0,978,7.3,1,0,0,,,
2026-05-09 12:13:28,27.6,54.0,976,7.3,1,0,0,,,
2026-05-09 12:13:34,27.6,54.0,977,7.3,1,0,0,,,
2026-05-09 12:13:39,27.6,54.0,976,7.3,1,0,0,,,
2026-05-09 12:13:45,27.6,54.0,976,7.3,1,0,0,,,
2026-05-09 12:13:50,27.6,53.8,976,7.4,1,0,0,,,
2026-05-09 12:13:56,27.6,53.6,974,7.3,1,0,0,,,
2026-05-09 12:14:01,27.5,53.4,975,7.3,1,0,0,,,
2026-05-09 12:14:07,27.5,53.2,974,7.4,1,0,0,,,
2026-05-09 12:14:12,27.5,53.0,971,7.3,1,0,0,,,
2026-05-09 12:14:18,27.5,53.2,972,7.3,1,0,0,,,
2026-05-09 12:14:23,27.5,53.4,973,7.3,1,0,0,,,
2026-05-09 12:14:29,27.5,53.6,972,7.3,1,0,0,,,
2026-05-09 12:14:34,27.5,53.8,969,7.3,1,0,0,,,
2026-05-09 12:14:40,27.5,54.2,967,7.3,1,0,0,,,
2026-05-09 12:14:45,27.5,54.4,969,7.3,1,0,0,,,
2026-05-09 12:14:51,27.5,54.4,968,7.3,1,0,0,,,
2026-05-09 12:14:56,27.5,54.4,968,7.3,1,0,0,,,
2026-05-09 12:15:02,27.5,54.4,964,7.3,1,0,0,,,
2026-05-09 12:15:07,27.5,54.2,966,7.3,1,0,0,,,
2026-05-09 12:15:13,27.5,54.0,966,7.3,1,0,0,,,
2026-05-09 12:15:18,27.5,54.0,964,7.3,1,0,0,,,
2026-05-09 12:15:24,27.5,54.0,964,7.3,1,0,0,,,
2026-05-09 12:15:29,27.5,54.0,963,7.3,1,0,0,,,
2026-05-09 12:15:35,27.5,54.2,962,7.3,1,0,0,,,
2026-05-09 12:15:40,27.5,54.2,961,7.3,1,0,0,,,
2026-05-09 12:15:46,27.5,54.2,961,7.3,1,0,0,,,
2026-05-09 12:15:51,27.5,54.2,961,7.3,1,0,0,,,
2026-05-09 12:15:57,27.5,54.2,959,7.3,1,0,0,,,
2026-05-09 12:16:02,27.5,54.0,959,7.3,1,0,0,,,
2026-05-09 12:16:08,27.5,54.0,959,7.3,1,0,0,,,
2026-05-09 12:16:13,27.5,54.0,959,7.3,1,0,0,,,
2026-05-09 12:16:19,27.5,54.0,956,7.3,1,0,0,,,
2026-05-09 12:16:24,27.5,54.4,956,7.3,1,0,0,,,
2026-05-09 12:16:30,27.6,54.6,956,7.4,1,0,0,,,
2026-05-09 12:16:35,27.6,55.0,955,7.3,1,0,0,,,
2026-05-09 12:16:40,27.6,56.0,954,7.3,1,0,0,,,
2026-05-09 12:16:46,27.6,56.8,952,7.3,1,0,0,,,
2026-05-09 12:16:51,27.6,57.2,950,7.3,1,0,0,,,
2026-05-09 12:16:57,27.6,57.8,953,7.3,1,0,0,,,
2026-05-09 12:17:02,27.7,58.4,951,7.3,1,0,0,,,
2026-05-09 12:17:08,27.7,58.4,952,7.3,1,0,0,,,
2026-05-09 12:17:13,27.7,58.8,948,7.3,1,0,0,,,
2026-05-09 12:17:19,27.7,59.2,950,7.3,1,0,0,,,
2026-05-09 12:17:24,27.7,59.6,947,7.3,1,0,0,,,
2026-05-09 12:17:30,27.7,59.4,946,7.3,1,0,0,,,
2026-05-09 12:17:35,27.7,59.2,947,7.3,1,0,0,,,
2026-05-09 12:17:41,27.8,58.4,946,7.3,1,0,0,,,
2026-05-09 12:17:46,27.8,57.4,945,7.3,1,0,0,,,
2026-05-09 12:17:52,27.8,56.4,944,7.3,1,0,0,,,
2026-05-09 12:17:57,27.8,55.6,944,7.3,1,0,0,,,
2026-05-09 12:18:03,27.8,55.0,943,7.3,1,0,0,,,
2026-05-09 12:18:08,27.8,54.6,944,7.3,1,0,0,,,
2026-05-09 12:18:14,27.8,54.4,943,7.3,1,0,0,,,
2026-05-09 12:18:19,27.7,54.4,941,7.3,1,0,0,,,
2026-05-09 12:18:25,27.7,54.6,943,7.3,1,0,0,,,
2026-05-09 12:18:30,27.7,54.6,940,7.3,1,0,0,,,
2026-05-09 12:18:36,27.7,55.0,941,7.3,1,0,0,,,
2026-05-09 12:18:41,27.7,55.4,941,7.3,1,0,0,,,
2026-05-09 12:18:47,27.7,55.4,939,7.3,1,0,0,,,
2026-05-09 12:18:52,27.7,55.4,940,7.3,1,0,0,,,
2026-05-09 12:18:58,27.7,55.6,938,7.3,1,0,0,,,
2026-05-09 12:19:03,27.7,55.4,938,7.3,1,0,0,,,
2026-05-09 12:19:09,27.7,55.2,936,7.3,1,0,0,,,
2026-05-09 12:19:14,27.7,55.2,934,7.3,1,0,0,,,
2026-05-09 12:19:20,27.7,55.0,936,7.3,1,0,0,,,
2026-05-09 12:19:25,27.7,54.8,935,7.3,1,0,0,,,
2026-05-09 12:19:31,27.7,54.8,933,7.3,1,0,0,,,
2026-05-09 12:19:36,27.7,55.2,931,7.3,1,0,0,,,
